"","name","time","ele","nearest_forest"
"1","EPE001",2022-06-21 09:49:21,1079.320557,107.932702295136
"2","EPE002",2022-06-21 09:49:57,1079.378418,111.899451472599
"3","EN001",2022-06-21 09:50:48,1079.548096,111.4715204761
"4","EN002",2022-06-21 09:51:29,1079.691528,113.832522053502
"5","EN004",2022-06-21 09:52:15,1080.235107,109.982820992243
"6","EN003",2022-06-21 09:53:00,1080.745361,110.30712427509
"7","EN006",2022-06-21 10:04:52,1085.846924,93.3247401690251
"8","EN005",2022-06-21 10:05:31,1085.137207,90.6337328535658
"9","EN010",2022-06-21 10:12:43,1102.302979,35.9446778016508
"10","EN009",2022-06-21 10:13:15,1102.274536,38.58833619934
"11","EN008",2022-06-21 10:16:44,1092.319336,79.7309211701419
"12","EN007",2022-06-21 10:17:32,1092.844482,79.8395818851323
"13","007",2022-06-21 10:27:14,1109.858154,85.0511246954704
"14","EN012",2022-06-21 10:27:38,1110.056274,88.9969287447436
"15","EN011",2022-06-21 10:28:00,1109.03186,90.3907087321307
"16","EN013",2022-06-21 10:58:35,1083.611816,547.586511572545
"17","EN014",2022-06-21 10:58:56,1084.439941,548.251677961778
"18","EN016",2022-06-21 11:04:11,1082.224976,580.749036077781
"19","EN015",2022-06-21 11:04:55,1082.720093,580.566043412795
"20","EN018",2022-06-21 11:07:43,1083.144775,636.48545478559
"21","EN017",2022-06-21 11:08:08,1083.013916,637.041505276093
"22","EN019",2022-06-21 11:11:36,1081.178467,637.625194758297
"23","EN020",2022-06-21 11:12:11,1079.273438,635.88070522792
"24","EN021",2022-06-21 11:16:33,1075.318481,624.805809795326
"25","EN022",2022-06-21 11:17:06,1075.124878,634.511881190313
"26","EN023",2022-06-21 11:23:20,1065.347412,683.043805494254
"27","EN024",2022-06-21 11:23:41,1065.25769,683.230878251628
"28","EN025",2022-06-21 11:49:02,981.575134,588.135870450863
"29","EN026",2022-06-21 11:51:41,982.645264,586.735814889819
"30","EN027",2022-06-21 11:52:37,981.724182,585.001862860437
"31","EN028",2022-06-21 11:53:13,981.502075,585.557587112305
"32","EN029",2022-06-21 11:55:02,981.340088,586.322886736661
"33","EN030",2022-06-21 11:55:44,981.416382,589.185957130835
"34","EN031",2022-06-21 11:57:32,983.039185,590.657522549974
"35","EN032",2022-06-21 11:57:51,983.161865,590.370942299465
"36","EN033",2022-06-21 11:59:50,985.856995,602.214889987484
"37","EN035",2022-06-21 12:00:16,985.111511,601.705821875918
"38","EN034",2022-06-21 12:00:38,986.294617,601.128867945907
"39","EN036",2022-06-21 12:01:06,986.32135,600.54314855729
"40","EN037",2022-06-21 12:16:17,1012.617065,546.04348380931
"41","EN038",2022-06-21 12:17:19,1014.187927,540.634042348592
"42","EN040",2022-06-21 12:29:44,1007.783264,371.851575870751
"43","EN039",2022-06-21 12:31:47,1014.199158,355.998604335807
"44","EN043",2022-06-21 12:37:24,1017.249146,334.030591414134
"45","EN044",2022-06-21 12:39:11,1017.773193,332.054159245275
"46","EN045",2022-06-21 12:39:46,1018.771301,326.219044159469
"47","EN046",2022-06-21 12:40:57,1019.806458,323.626949218889
"48","EN047",2022-06-21 12:57:13,1031.12793,216.334599439919
"49","EN048",2022-06-21 13:00:48,1029.418457,222.817966030185
"50","EN049",2022-06-21 13:02:11,1028.356689,220.178737140212
"51","EN050",2022-06-21 13:05:41,1026.371582,226.352937062228
"52","EN051",2022-06-21 13:11:40,1024.355591,232.77214844386
"53","EN052",2022-06-21 13:12:15,1024.77417,231.259777995301
"54","EN053",2022-06-21 13:13:29,1025.646484,218.377407909294
"55","EN054",2022-06-21 13:15:26,1024.055908,219.892351590883
"56","EN057",2022-06-21 13:15:49,1023.684082,218.067914168611
"57","EN058",2022-06-21 13:16:50,1025.320068,214.771756353883
"58","EN060",2022-06-21 13:20:00,1030.22522,201.590970693168
"59","EN062",2022-06-21 13:20:30,1030.80127,202.687921181018
"60","EN059",2022-06-21 13:20:59,1029.618774,205.328208975988
"61","EN061",2022-06-21 13:21:25,1030.811035,203.634957842642
"62","EN064",2022-06-21 13:21:54,1029.606445,199.664668464341
"63","EN061",2022-06-21 13:23:36,1029.949707,202.58444168987
"64","EN063",2022-06-21 13:24:27,1030.195923,201.393747408495
"65","EN056",2022-06-21 13:30:47,1034.254639,207.008846289263
"66","EN055",2022-06-21 13:31:18,1033.141235,211.745350261418
"67","EN066",2022-06-21 13:33:45,1036.074585,203.398140114307
"68","EN065",2022-06-21 13:35:23,1036.307129,204.025990020727
"69","EN067",2022-06-21 13:42:10,1045.798706,287.452616107502
"70","EN068",2022-06-21 13:42:57,1045.692383,293.336125572691
"71","EN069",2022-06-21 13:44:20,1042.603638,307.837195933483
"72","EN070",2022-06-21 13:44:50,1042.446411,308.043191785187
"73","EN073",2022-06-21 13:48:23,1038.443481,373.138316485905
"74","EN074",2022-06-21 13:49:05,1037.713989,373.315230708958
"75","EN071",2022-06-21 13:52:02,1041.984375,381.77151486296
"76","EN072",2022-06-21 13:52:28,1041.261475,379.607161739735
